record_id,concept_id,platform,proposed_local_datetime,timezone,status,image_path,caption_location,ai_disclosure_required,owner_approval_required,externally_scheduled
AKI-01-IG,01,Instagram,2026-08-10 09:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/01.jpg,APPROVAL-PACK.md#instagram-post-01,true,true,false
AKI-01-FB,01,Facebook,2026-08-10 09:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/01.jpg,APPROVAL-PACK.md#facebook-post-01,true,true,false
AKI-01-X,01,X,2026-08-10 09:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/01.jpg,APPROVAL-PACK.md#x-post-01,true,true,false
AKI-02-IG,02,Instagram,2026-08-10 18:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/02.jpg,APPROVAL-PACK.md#instagram-post-02,true,true,false
AKI-02-FB,02,Facebook,2026-08-10 18:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/02.jpg,APPROVAL-PACK.md#facebook-post-02,true,true,false
AKI-02-X,02,X,2026-08-10 18:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/02.jpg,APPROVAL-PACK.md#x-post-02,true,true,false
AKI-03-IG,03,Instagram,2026-08-11 12:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/03.jpg,APPROVAL-PACK.md#instagram-post-03,true,true,false
AKI-03-FB,03,Facebook,2026-08-11 12:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/03.jpg,APPROVAL-PACK.md#facebook-post-03,true,true,false
AKI-03-X,03,X,2026-08-11 12:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/03.jpg,APPROVAL-PACK.md#x-post-03,true,true,false
AKI-04-IG,04,Instagram,2026-08-12 10:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/04.jpg,APPROVAL-PACK.md#instagram-post-04,true,true,false
AKI-04-FB,04,Facebook,2026-08-12 10:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/04.jpg,APPROVAL-PACK.md#facebook-post-04,true,true,false
AKI-04-X,04,X,2026-08-12 10:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/04.jpg,APPROVAL-PACK.md#x-post-04,true,true,false
