"platform","concept","file","width","height","bytes","sha256","source_file","source_sha256","prompt_file","generation_mode","disclosure","status"
"instagram","01","assets\instagram\01-signal-acquired-1080x1350.jpg","1080","1350","435630","AC82C2DCD21708910478A1B389863CD5DB7F01389A3F8FC3538FDCD745957E92","assets\sources\instagram\01-signal-acquired.png","E419F9F69807C2DC12A4E49135E7C1ACE2FEFEE08FCE01DE03732FFA451DBD25","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","02","assets\instagram\02-a-planet-is-a-conversation-1080x1350.jpg","1080","1350","593276","CF9AC308F2E2FF511F9A5083080C7BF5E754046670C7B19C4D7D76B476C5817F","assets\sources\instagram\02-a-planet-is-a-conversation.png","D78B44DEAD9DC9AD8C870B330D1D41720795CF4ACA935C4BBBAE38C17EEF4CC3","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","03","assets\instagram\03-connection-is-infrastructure-1080x1350.jpg","1080","1350","603417","3CBC27959C5F585E75DC99FB4CA208FDCE0CAADE13B5F9D87214512F80D34BA3","assets\sources\instagram\03-connection-is-infrastructure.png","A48C9D3E019E80E27DF5E38E2B6FB32DA3DFFBCD9D58BFDE64717DCA55590AD2","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","04","assets\instagram\04-what-the-grid-reveals-1080x1350.jpg","1080","1350","454211","8A7C571B935234B21F4BA36381C8C48B3CE7E5CA7535FAD8E239421D7383D0B2","assets\sources\instagram\04-what-the-grid-reveals.png","C9C9C067DA9C88F6733436F0A6C9493BCD29A65243639B68C5989F276AF57471","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","05","assets\instagram\05-restoration-begins-with-listening-1080x1350.jpg","1080","1350","501563","94E20AB0AA6EB428393B5E321727092ACEF32612BFB0B5C6E84F951687337C05","assets\sources\instagram\05-restoration-begins-with-listening.png","F6C0A969D08D5B223D3127048C5DE67E1F6D5C5D2712D94C21B785F92CE407F3","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","06","assets\instagram\06-protect-the-web-1080x1350.jpg","1080","1350","479049","A0047A5B43B2CBE789EFE660FCE297F64D1748C9A042877D10BBED8F4950E44B","assets\sources\instagram\06-protect-the-web.png","FBC6828A9C4AC718CD8C6C85F4F519B72C801F5B0EC95259A1F8AB9C4DCDF32F","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","07","assets\instagram\07-the-sky-has-weather-1080x1350.jpg","1080","1350","376359","19F8C6C47017A79712CF28F230826DBCC7CE6D71D5471E3BED5BB175647C9D7F","assets\sources\instagram\07-the-sky-has-weather.png","098C6A33BC7E4F1A942F95C53299251FE535D229B8761163E9174430D1D9C7EF","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","08","assets\instagram\08-pattern-is-not-prophecy-1080x1350.jpg","1080","1350","331498","B7E3D52E39395729C83FDD7881BE6B80EE67BB0E3C9F410C200C2D1ACC3829AC","assets\sources\instagram\08-pattern-is-not-prophecy.png","EF5123D7571FB5C5CD54F3112A9586A95B22A10621C3818BF029BD03BAC31CE6","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","09","assets\instagram\09-refusal-must-remain-refusal-1080x1350.jpg","1080","1350","360135","C3D40397EA8E9CB62A5D4AEFB4286A3238732EF7063CD832557ED91079FE822A","assets\sources\instagram\09-refusal-must-remain-refusal.png","579204B8142B51522DA6EEA0E9489A74A9D776F7F2BEEE966EDAF39BAB71AC46","VISUAL-PROMPT-MATRIX.md","platform crop derived from built-in imagegen sibling source after imagegen OAuth interruption or visual QA correction","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"instagram","10","assets\instagram\10-before-the-first-castle-1080x1350.jpg","1080","1350","423143","4B499F0A56C6E2040C0CA4AE9A3C6DDB488C97EB447CF4E78C993EB02F1D997E","assets\sources\instagram\10-before-the-first-castle.png","CDF1F40507D89CAC8CDD73193923266B59CAE35E07818698EC71C8FD106CF6B6","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","01","assets\facebook\01-signal-acquired-1200x1500.jpg","1200","1500","442319","09C8C412C881BC6051D47764D7A5A36C925BA3F1A1B2393E6D09047ED18CC8BC","assets\sources\facebook\01-signal-acquired.png","C0ECB1EF1C4E51BFFC44B452E3074A8B9925E2A30565D9C5BC20E6C7766DC1C2","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","02","assets\facebook\02-a-planet-is-a-conversation-1200x1500.jpg","1200","1500","536494","4D2519B35CD21ECE54B2CCB23FD2BBF0A6758461F355F9B548D20ADEF5D7FFA3","assets\sources\facebook\02-a-planet-is-a-conversation.png","B105EE9A22F5A4107BA83789D14A9E5D42FBA6CDC6CB06D4BE369B1A87C7A923","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","03","assets\facebook\03-connection-is-infrastructure-1200x1500.jpg","1200","1500","586612","ECAFE8C2A60FC57D6594065F7AB9D8075697CBD5B3666B79CBCC879922F9E551","assets\sources\facebook\03-connection-is-infrastructure.png","47A2987EFAE70FFD7D12804C02A578047B9BDE5135C0B3625E17BB7CCE9728A7","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","04","assets\facebook\04-what-the-grid-reveals-1200x1500.jpg","1200","1500","453735","C6210DA6FE3B81EE039BC5337E9EBBD9A111CFE202084246CFD4B6C011050A94","assets\sources\facebook\04-what-the-grid-reveals.png","506C2014FBB131F24F0A22E703EB7F222D4B6296FAFF4F586FC3AECAD2C8C20C","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","05","assets\facebook\05-restoration-begins-with-listening-1200x1500.jpg","1200","1500","584730","569F64E203C2A019EE9EE7984A15690FC7D2B9E43DFB34EFE93154265D90B9E9","assets\sources\facebook\05-restoration-begins-with-listening.png","8D7E44580CA800C5BB3E8EA3717BEE3E14C28B59954353C6F2AAABA68EE383EF","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","06","assets\facebook\06-protect-the-web-1200x1500.jpg","1200","1500","581667","ABC804199AAE20C9B391CAC71F36CCF0E9AB4021AD418E3C995520469FF413AF","assets\sources\facebook\06-protect-the-web.png","FBC6828A9C4AC718CD8C6C85F4F519B72C801F5B0EC95259A1F8AB9C4DCDF32F","VISUAL-PROMPT-MATRIX.md","platform crop derived from built-in imagegen sibling source after imagegen OAuth interruption or visual QA correction","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","07","assets\facebook\07-the-sky-has-weather-1200x1500.jpg","1200","1500","495875","F41524F74E935C8731D615687A7945380286A99D70DBCD4D8E2EA62CE96EDD4C","assets\sources\facebook\07-the-sky-has-weather.png","3A4EB709448E1082E5B9936DAD8C4C819CFF1A8224324CE7DB7C1110E0559C73","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","08","assets\facebook\08-pattern-is-not-prophecy-1200x1500.jpg","1200","1500","406591","DA8AA17965C6BF74EA67AB055729880225C78E48E13303DE89CB05D71C56ADB1","assets\sources\facebook\08-pattern-is-not-prophecy.png","CB8111BDE7710703D1EEA17103C8728FF04663E431E275E0CD8621E695F29A47","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","09","assets\facebook\09-refusal-must-remain-refusal-1200x1500.jpg","1200","1500","403751","F7D5CE7A631EC4EA41B8C1EFC1FA462D76162E396F275F9FE8E6AE87E5FDE639","assets\sources\facebook\09-refusal-must-remain-refusal.png","579204B8142B51522DA6EEA0E9489A74A9D776F7F2BEEE966EDAF39BAB71AC46","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"facebook","10","assets\facebook\10-before-the-first-castle-1200x1500.jpg","1200","1500","511953","0A1FF3595FD33F6FA81B95674466B902570400A8A55DE57031B2194256B3D430","assets\sources\facebook\10-before-the-first-castle.png","B6186E4DE3BE41BFCD754D41AC37D3086E2D48F24E4B25F83A5711BEC5E047CB","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"x","01","assets\x\01-signal-acquired-1600x900.jpg","1600","900","270990","E686C8223E9157FB3E0B1325D48D9CCFF6446DE98C6485D7ED37848861719E90","assets\sources\x\01-signal-acquired.png","C8502924422F05ABE3082625206F5DE205D7A37AEA1C24CFEF9716D804A0A366","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
"x","02","assets\x\02-a-planet-is-a-conversation-1600x900.jpg","1600","900","464706","3F2F01BFFB4998B8529F38D7B6E7009CEA21F24F4BE3C84A6C595A9F5B1A6FEB","assets\sources\x\02-a-planet-is-a-conversation.png","5A3DEB82CB55DCBD7BF82A52AC317233C559B52A4DC43D576EB2A8EBA66768FF","VISUAL-PROMPT-MATRIX.md","built-in imagegen","fictional Castleborn character; AI-assisted visual","awaiting_owner_approval"
